Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 39%, 129 secs]  8 threads:    19362992 ops,  145742 (avg:  150056) ops/sec, 14.74MB/sec (avg: 15.17MB/sec),  2.68 (avg:  2.66) msec latency
[RUN #1 39%, 130 secs]  8 threads:    19452682 ops,   89652 (avg:  149591) ops/sec, 9.07MB/sec (avg: 15.13MB/sec),  4.60 (avg:  2.67) msec latency
[RUN #1 39%, 131 secs]  8 threads:    19603417 ops,  150697 (avg:  149599) ops/sec, 15.24MB/sec (avg: 15.13MB/sec),  2.65 (avg:  2.67) msec latency
[RUN #1 40%, 132 secs]  8 threads:    19778140 ops,  174683 (avg:  149789) ops/sec, 17.66MB/sec (avg: 15.15MB/sec),  2.29 (avg:  2.66) msec latency
[RUN #1 40%, 133 secs]  8 threads:    19933383 ops,  155157 (avg:  149830) ops/sec, 15.69MB/sec (avg: 15.15MB/sec),  2.54 (avg:  2.66) msec latency
[RUN #1 40%, 134 secs]  8 threads:    20095270 ops,  161845 (avg:  149920) ops/sec, 16.37MB/sec (avg: 15.16MB/sec),  2.49 (avg:  2.66) msec latency
[RUN #1 41%, 135 secs]  8 threads:    20250865 ops,  155555 (avg:  149961) ops/sec, 15.73MB/sec (avg: 15.16MB/sec),  2.52 (avg:  2.66) msec latency
[RUN #1 41%, 136 secs]  8 threads:    20406592 ops,  155697 (avg:  150003) ops/sec, 15.74MB/sec (avg: 15.17MB/sec),  2.59 (avg:  2.66) msec latency
[RUN #1 41%, 137 secs]  8 threads:    20558066 ops,  151444 (avg:  150014) ops/sec, 15.31MB/sec (avg: 15.17MB/sec),  2.62 (avg:  2.66) msec latency
[RUN #1 41%, 138 secs]  8 threads:    20720640 ops,  162537 (avg:  150105) ops/sec, 16.44MB/sec (avg: 15.18MB/sec),  2.45 (avg:  2.66) msec latency
[RUN #1 42%, 139 secs]  8 threads:    20883534 ops,  162854 (avg:  150196) ops/sec, 16.47MB/sec (avg: 15.19MB/sec),  2.47 (avg:  2.66) msec latency
[RUN #1 42%, 140 secs]  8 threads:    21037323 ops,  153757 (avg:  150222) ops/sec, 15.55MB/sec (avg: 15.19MB/sec),  2.60 (avg:  2.66) msec latency
[RUN #1 42%, 141 secs]  8 threads:    21189747 ops,  152307 (avg:  150237) ops/sec, 15.40MB/sec (avg: 15.19MB/sec),  2.61 (avg:  2.66) msec latency
[RUN #1 43%, 142 secs]  8 threads:    21336104 ops,  146321 (avg:  150209) ops/sec, 14.80MB/sec (avg: 15.19MB/sec),  2.74 (avg:  2.66) msec latency
[RUN #1 43%, 143 secs]  8 threads:    21482572 ops,  146437 (avg:  150183) ops/sec, 14.81MB/sec (avg: 15.19MB/sec),  2.75 (avg:  2.66) msec latency
[RUN #1 43%, 144 secs]  8 threads:    21639902 ops,  157294 (avg:  150232) ops/sec, 15.91MB/sec (avg: 15.19MB/sec),  2.50 (avg:  2.66) msec latency
[RUN #1 44%, 145 secs]  8 threads:    21782734 ops,  142795 (avg:  150181) ops/sec, 14.44MB/sec (avg: 15.19MB/sec),  2.79 (avg:  2.66) msec latency
[RUN #1 44%, 146 secs]  8 threads:    21931689 ops,  148900 (avg:  150172) ops/sec, 15.06MB/sec (avg: 15.19MB/sec),  2.70 (avg:  2.66) msec latency
[RUN #1 44%, 147 secs]  8 threads:    22085075 ops,  153351 (avg:  150194) ops/sec, 15.51MB/sec (avg: 15.19MB/sec),  2.63 (avg:  2.66) msec latency
[RUN #1 44%, 148 secs]  8 threads:    22235840 ops,  150728 (avg:  150197) ops/sec, 15.24MB/sec (avg: 15.19MB/sec),  2.65 (avg:  2.66) msec latency
[RUN #1 45%, 149 secs]  8 threads:    22391584 ops,  155694 (avg:  150234) ops/sec, 15.74MB/sec (avg: 15.19MB/sec),  2.57 (avg:  2.66) msec latency
[RUN #1 45%, 150 secs]  8 threads:    22549113 ops,  157493 (avg:  150283) ops/sec, 15.93MB/sec (avg: 15.20MB/sec),  2.49 (avg:  2.66) msec latency
[RUN #1 45%, 151 secs]  8 threads:    22709504 ops,  160360 (avg:  150349) ops/sec, 16.22MB/sec (avg: 15.20MB/sec),  2.53 (avg:  2.65) msec latency
[RUN #1 46%, 152 secs]  8 threads:    22856828 ops,  147293 (avg:  150329) ops/sec, 14.89MB/sec (avg: 15.20MB/sec),  2.71 (avg:  2.66) msec latency
